05-08 19:44:43.137  9792  9812 I TestRunner: started: insertAndQuery5kSubjects(com.example.benchmark.option1.BiometricTemplateWriteReadBenchmark)
05-08 19:44:45.136  9792  9812 I option1 : Benchmark option 1...
05-08 19:44:45.146  9792  9812 I option1 : 0 KB
05-08 19:44:47.401  9792  9812 I option1 : Insert time: 2254 ms
05-08 19:44:47.402  9792  9812 I option1 : 45512 KB
05-08 19:44:48.421  9792  9812 D Benchmark: -- Running com.example.benchmark.option1.BiometricTemplateWriteReadBenchmark#insertAndQuery5kSubjects --
05-08 19:44:57.764  9792  9812 I option1 : Query result size: 2000 subjects, 4000 templates
05-08 19:44:57.858  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:57.952  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:57.952  9792  9812 I option1 : 17, 328
05-08 19:44:57.970  9792  9812 I option1 : Count result: 10000
05-08 19:44:58.006  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:58.044  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:58.110  9792  9812 I option1 : Query result size: 2000 subjects, 4000 templates
05-08 19:44:58.204  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:58.299  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:58.299  9792  9812 I option1 : 17, 329
05-08 19:44:58.317  9792  9812 I option1 : Count result: 10000
05-08 19:44:58.353  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:58.392  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:58.454  9792  9812 I option1 : Query result size: 2000 subjects, 4000 templates
05-08 19:44:58.551  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:58.646  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:58.646  9792  9812 I option1 : 17, 329
05-08 19:44:58.663  9792  9812 I option1 : Count result: 10000
05-08 19:44:58.699  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:58.737  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:58.799  9792  9812 I option1 : Query result size: 2000 subjects, 4000 templates
05-08 19:44:58.895  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:58.992  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:58.992  9792  9812 I option1 : 17, 329
05-08 19:44:59.010  9792  9812 I option1 : Count result: 10000
05-08 19:44:59.047  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:59.085  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:59.147  9792  9812 I option1 : Query result size: 2000 subjects, 4000 templates
05-08 19:44:59.242  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:59.337  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:59.337  9792  9812 I option1 : 17, 327
05-08 19:44:59.356  9792  9812 I option1 : Count result: 10000
05-08 19:44:59.392  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:59.430  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:59.496  9792  9812 I option1 : Query result size: 2000 subjects, 4000 templates
05-08 19:44:59.594  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:59.691  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:59.691  9792  9812 I option1 : 18, 335
05-08 19:44:59.708  9792  9812 I option1 : Count result: 10000
05-08 19:44:59.745  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:59.785  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:59.851  9792  9812 I option1 : Query result size: 2000 subjects, 4000 templates
05-08 19:44:59.946  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:45:00.042  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:45:00.042  9792  9812 I option1 : 17, 334
05-08 19:45:00.059  9792  9812 I option1 : Count result: 10000
05-08 19:45:00.100  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:45:00.139  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:45:00.202  9792  9812 I option1 : Query result size: 2000 subjects, 4000 templates
05-08 19:45:00.300  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:45:00.395  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:45:00.395  9792  9812 I option1 : 16, 335
05-08 19:45:00.413  9792  9812 I option1 : Count result: 10000
05-08 19:45:00.449  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:45:00.489  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:45:00.550  9792  9812 I option1 : Query result size: 2000 subjects, 4000 templates
05-08 19:45:00.647  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:45:00.744  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:45:00.744  9792  9812 I option1 : 17, 331
05-08 19:45:00.762  9792  9812 I option1 : Count result: 10000
05-08 19:45:00.799  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:45:00.838  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:45:00.902  9792  9812 I option1 : Query result size: 2000 subjects, 4000 templates
05-08 19:45:01.002  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:45:01.098  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:45:01.098  9792  9812 I option1 : 18, 336
05-08 19:45:01.116  9792  9812 I option1 : Count result: 10000
05-08 19:45:01.154  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:45:01.193  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:45:01.260  9792  9812 I option1 : Query result size: 2000 subjects, 4000 templates
05-08 19:45:01.358  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:45:01.455  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:45:01.455  9792  9812 I option1 : 18, 339
05-08 19:45:01.473  9792  9812 I option1 : Count result: 10000
05-08 19:45:01.511  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:45:01.550  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:45:01.619  9792  9812 I option1 : Query result size: 2000 subjects, 4000 templates
05-08 19:45:01.714  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:45:01.811  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:45:01.811  9792  9812 I option1 : 18, 337
05-08 19:45:01.829  9792  9812 I option1 : Count result: 10000
05-08 19:45:01.867  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:45:01.906  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:45:01.970  9792  9812 I option1 : Query result size: 2000 subjects, 4000 templates
05-08 19:45:02.067  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:45:02.163  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:45:02.163  9792  9812 I option1 : 17, 334
05-08 19:45:02.181  9792  9812 I option1 : Count result: 10000
05-08 19:45:02.218  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:45:02.257  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:45:02.324  9792  9812 I option1 : Query result size: 2000 subjects, 4000 templates
05-08 19:45:02.419  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:45:02.515  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:45:02.515  9792  9812 I option1 : 17, 334
05-08 19:45:02.532  9792  9812 I option1 : Count result: 10000
05-08 19:45:02.569  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:45:02.608  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:45:02.672  9792  9812 I option1 : Query result size: 2000 subjects, 4000 templates
05-08 19:45:02.769  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:45:02.865  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:45:02.865  9792  9812 I option1 : 16, 333
05-08 19:45:02.881  9792  9812 I option1 : Count result: 10000
05-08 19:45:02.920  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:45:02.959  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:45:03.023  9792  9812 I option1 : Query result size: 2000 subjects, 4000 templates
05-08 19:45:03.119  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:45:03.215  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:45:03.215  9792  9812 I option1 : 16, 334
05-08 19:45:03.234  9792  9812 I option1 : Count result: 10000
05-08 19:45:03.272  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:45:03.310  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:45:03.374  9792  9812 I option1 : Query result size: 2000 subjects, 4000 templates
05-08 19:45:03.471  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:45:03.568  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:45:03.568  9792  9812 I option1 : 19, 333
05-08 19:45:03.586  9792  9812 I option1 : Count result: 10000
05-08 19:45:03.623  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
